PartitionKey,RowKey,IpAddress,IpAddressAssignment,SubnetIpRange,SubnetName,VnetIpRange,VnetName
0,0,10.155.13.0,,10.155.13.0/27,,10.155.13.0/26,
1,1,10.155.13.1,,10.155.13.0/27,,10.155.13.0/26,
2,2,10.155.13.2,,10.155.13.0/27,,10.155.13.0/26,
3,3,10.155.13.3,,10.155.13.0/27,,10.155.13.0/26,
4,4,10.155.13.4,,10.155.13.0/27,,10.155.13.0/26,
5,5,10.155.13.5,,10.155.13.0/27,,10.155.13.0/26,
6,6,10.155.13.6,,10.155.13.0/27,,10.155.13.0/26,
7,7,10.155.13.7,,10.155.13.0/27,,10.155.13.0/26,
8,8,10.155.13.8,,10.155.13.0/27,,10.155.13.0/26,
9,9,10.155.13.9,,10.155.13.0/27,,10.155.13.0/26,
10,10,10.155.13.10,,10.155.13.0/27,,10.155.13.0/26,
11,11,10.155.13.11,,10.155.13.0/27,,10.155.13.0/26,
12,12,10.155.13.12,,10.155.13.0/27,,10.155.13.0/26,
13,13,10.155.13.13,,10.155.13.0/27,,10.155.13.0/26,
14,14,10.155.13.14,,10.155.13.0/27,,10.155.13.0/26,
15,15,10.155.13.15,,10.155.13.0/27,,10.155.13.0/26,
16,16,10.155.13.16,,10.155.13.0/27,,10.155.13.0/26,
17,17,10.155.13.17,,10.155.13.0/27,,10.155.13.0/26,
18,18,10.155.13.18,,10.155.13.0/27,,10.155.13.0/26,
19,19,10.155.13.19,,10.155.13.0/27,,10.155.13.0/26,
20,20,10.155.13.20,,10.155.13.0/27,,10.155.13.0/26,
21,21,10.155.13.21,,10.155.13.0/27,,10.155.13.0/26,
22,22,10.155.13.22,,10.155.13.0/27,,10.155.13.0/26,
23,23,10.155.13.23,,10.155.13.0/27,,10.155.13.0/26,
24,24,10.155.13.24,,10.155.13.0/27,,10.155.13.0/26,
25,25,10.155.13.25,,10.155.13.0/27,,10.155.13.0/26,
26,26,10.155.13.26,,10.155.13.0/27,,10.155.13.0/26,
27,27,10.155.13.27,,10.155.13.0/27,,10.155.13.0/26,
28,28,10.155.13.28,,10.155.13.0/27,,10.155.13.0/26,
29,29,10.155.13.29,,10.155.13.0/27,,10.155.13.0/26,
30,30,10.155.13.30,,10.155.13.0/27,,10.155.13.0/26,
31,31,10.155.13.31,,10.155.13.0/27,,10.155.13.0/26,
32,32,10.155.13.32,,10.155.13.32/27,,10.155.13.0/26,
33,33,10.155.13.33,,10.155.13.32/27,,10.155.13.0/26,
34,34,10.155.13.34,,10.155.13.32/27,,10.155.13.0/26,
35,35,10.155.13.35,,10.155.13.32/27,,10.155.13.0/26,
36,36,10.155.13.36,,10.155.13.32/27,,10.155.13.0/26,
37,37,10.155.13.37,,10.155.13.32/27,,10.155.13.0/26,
38,38,10.155.13.38,,10.155.13.32/27,,10.155.13.0/26,
39,39,10.155.13.39,,10.155.13.32/27,,10.155.13.0/26,
40,40,10.155.13.40,,10.155.13.32/27,,10.155.13.0/26,
41,41,10.155.13.41,,10.155.13.32/27,,10.155.13.0/26,
42,42,10.155.13.42,,10.155.13.32/27,,10.155.13.0/26,
